"BLeft","timeCount"
250,1.0
250,2.0
250,3.0
250,4.0
250,5.0
250,6.0
250,7.0
250,8.0
250,9.0
247,10.0
244,11.0
243,12.0
242,13.0
241,14.0
240,15.0
239,16.0
239,17.0
239,18.0
238,19.0
237,20.0
237,21.0
237,22.0
237,23.0
236,24.0
235,25.0
235,26.0
234,27.0
234,28.0
234,29.0
234,30.0
234,31.0
234,32.0
234,33.0
233,34.0
231,35.0
230,36.0
229,37.0
228,38.0
228,39.0
226,40.0
226,41.0
226,42.0
225,43.0
225,44.0
225,45.0
225,46.0
225,47.0
225,48.0
225,49.0
224,50.0
224,51.0
224,52.0
224,53.0
224,54.0
224,55.0
224,56.0
224,57.0
224,58.0
224,59.0
223,60.0
221,61.0
219,62.0
219,63.0
219,64.0
219,65.0
219,66.0
219,67.0
219,68.0
219,69.0
219,70.0
219,71.0
219,72.0
218,73.0
218,74.0
217,75.0
217,76.0
216,77.0
216,78.0
216,79.0
216,80.0
216,81.0
214,82.0
214,83.0
214,84.0
214,85.0
214,86.0
214,87.0
212,88.0
211,89.0
210,90.0
210,91.0
210,92.0
210,93.0
210,94.0
210,95.0
210,96.0
207,97.0
207,98.0
207,99.0
205,100.0
204,101.0
204,102.0
200,103.0
200,104.0
200,105.0
200,106.0
200,107.0
200,108.0
199,109.0
199,110.0
198,111.0
196,112.0
196,113.0
196,114.0
196,115.0
195,116.0
194,117.0
193,118.0
193,119.0
191,120.0
189,121.0
188,122.0
188,123.0
188,124.0
187,125.0
187,126.0
187,127.0
187,128.0
187,129.0
187,130.0
186,131.0
185,132.0
185,133.0
185,134.0
185,135.0
184,136.0
183,137.0
181,138.0
181,139.0
181,140.0
181,141.0
181,142.0
180,143.0
179,144.0
179,145.0
179,146.0
179,147.0
178,148.0
177,149.0
176,150.0
176,151.0
176,152.0
174,153.0
174,154.0
174,155.0
174,156.0
173,157.0
173,158.0
172,159.0
172,160.0
172,161.0
172,162.0
172,163.0
171,164.0
171,165.0
171,166.0
171,167.0
171,168.0
171,169.0
171,170.0
171,171.0
171,172.0
171,173.0
171,174.0
171,175.0
171,176.0
170,177.0
170,178.0
169,179.0
169,180.0
169,181.0
169,182.0
169,183.0
167,184.0
166,185.0
165,186.0
165,187.0
165,188.0
164,189.0
164,190.0
164,191.0
164,192.0
164,193.0
164,194.0
163,195.0
162,196.0
162,197.0
162,198.0
160,199.0
160,200.0
160,201.0
160,202.0
160,203.0
160,204.0
160,205.0
160,206.0
160,207.0
160,208.0
160,209.0
160,210.0
160,211.0
160,212.0
157,213.0
157,214.0
157,215.0
157,216.0
157,217.0
156,218.0
155,219.0
155,220.0
155,221.0
155,222.0
155,223.0
154,224.0
154,225.0
154,226.0
154,227.0
154,228.0
154,229.0
154,230.0
