"Tick","MinSize","MeanSize","MaxSize"
1.0,1.0092166290641762,1.0098525807619183,1.0099994736886584
2.0,1.025884679525625,1.0280529948868933,1.0298077742918395
3.0,1.0487945837480948,1.05353268971854,1.0576632155501282
4.0,1.077916366145946,1.0850502920983398,1.091405523775611
5.0,1.111652547554113,1.1224451665346569,1.131163491681218
6.0,1.1523441262589769,1.1661460630048994,1.1781250140490012
7.0,1.2045701808738523,1.215651992297304,1.2279884066991509
8.0,1.2576926882052795,1.2704176412409414,1.2852691601379773
9.0,1.3133660435839556,1.3314079885074703,1.3547907061479054
10.0,1.38102835804224,1.3984305936594286,1.4194177889288402
11.0,1.4476335474266668,1.4707393237045037,1.4940690551255829
12.0,1.5212175562651826,1.5492060159040584,1.5727636324078775
13.0,1.608451725624036,1.6333640255466184,1.65734861722216
14.0,1.6944462269637734,1.7233481897158485,1.7555031704320572
15.0,1.7887243140675129,1.818058108597933,1.8539602860854938
16.0,1.8818668586690912,1.9181912118584972,1.952523138318211
17.0,1.9793573158793154,2.023568096087323,2.0608943355409433
18.0,2.087957750980277,2.131248774630737,2.176793152359314
19.0,2.2055879567400556,2.247562795964513,2.2937922794092445
20.0,2.324944981071167,2.369774057258005,2.415501542042475
21.0,2.4501360302278776,2.4965151530594216,2.547018394891638
22.0,2.580652207117528,2.628374911503124,2.678762764292769
23.0,2.716239820919,2.764913658543579,2.8193754030368288
24.0,2.859086460142862,2.905882399794795,2.9686133528500793
25.0,3.0075479256012483,3.0522921994040564,3.1145992029202167
26.0,3.154515767761041,3.2036486329921843,3.2757383900205603
27.0,3.3059853239730006,3.3606085426046515,3.435484713758342
28.0,3.466679811866488,3.525594285818282,3.6062868192000317
29.0,3.640368272301275,3.698226616027823,3.785113005994354
30.0,3.8179097819421437,3.8737752322352583,3.965096250432544
31.0,3.997266103967559,4.0571669917994875,4.149929847714957
32.0,4.182592347657774,4.244143390462502,4.337215419856366
33.0,4.3682016887678765,4.433658129901774,4.52173590649385
34.0,4.559401829098352,4.630016407548424,4.726426009582356
35.0,4.751852513861377,4.828964846813017,4.927292742338032
36.0,4.948620381916408,5.033217234087641,5.135150032474194
37.0,5.152061143708416,5.244977542020463,5.345670281394851
38.0,5.3657162129879,5.457328565482894,5.565144028898795
39.0,5.58643729883479,5.680965202998524,5.792824371324387
40.0,5.814174387014937,5.9082980237081655,6.0217012763558895
41.0,6.041905271392316,6.145031034279215,6.260624690805563
42.0,6.2765674246218985,6.384032818999342,6.496808382163291
43.0,6.520565998768434,6.625420209964773,6.736762552864385
44.0,6.763124592835084,6.875690558991717,7.001811261936092
45.0,7.015018081993331,7.127469783242559,7.271689677825199
46.0,7.265079468835611,7.387437575426496,7.537325307286811
47.0,7.524990330412984,7.6530547486266975,7.8082298747054315
