"Steps taken by first ant","Time","Steps taken bt present ant"
0,1.0,0
0,2.0,0
0,3.0,0
0,4.0,0
0,5.0,0
0,6.0,0
0,7.0,0
0,8.0,0
0,9.0,0
0,10.0,0
0,11.0,0
0,12.0,0
0,13.0,0
0,14.0,0
0,15.0,0
0,16.0,0
0,17.0,0
0,18.0,0
0,19.0,0
0,20.0,0
0,21.0,0
0,22.0,0
0,23.0,0
0,24.0,0
0,25.0,0
0,26.0,0
0,27.0,0
0,28.0,0
0,29.0,0
0,30.0,0
0,31.0,0
0,32.0,0
0,33.0,0
0,34.0,0
0,35.0,0
0,36.0,0
0,37.0,0
0,38.0,0
0,39.0,0
0,40.0,0
0,41.0,0
0,42.0,0
0,43.0,0
0,44.0,0
0,45.0,0
0,46.0,0
0,47.0,0
0,48.0,0
0,49.0,0
0,50.0,0
0,51.0,0
0,52.0,0
0,53.0,0
0,54.0,0
0,55.0,0
0,56.0,0
0,57.0,0
0,58.0,0
0,59.0,0
0,60.0,0
0,61.0,0
0,62.0,0
0,63.0,0
0,64.0,0
0,65.0,0
0,66.0,0
0,67.0,0
0,68.0,0
0,69.0,0
0,70.0,0
0,71.0,0
0,72.0,0
0,73.0,0
0,74.0,0
0,75.0,0
0,76.0,0
0,77.0,0
0,78.0,0
0,79.0,0
0,80.0,0
0,81.0,0
0,82.0,0
0,83.0,0
0,84.0,0
0,85.0,0
0,86.0,0
0,87.0,0
0,88.0,0
0,89.0,0
0,90.0,0
0,91.0,0
0,92.0,0
0,93.0,0
0,94.0,0
0,95.0,0
0,96.0,0
0,97.0,0
0,98.0,0
0,99.0,0
0,100.0,0
0,101.0,0
0,102.0,0
0,103.0,0
0,104.0,0
0,105.0,0
0,106.0,0
0,107.0,0
0,108.0,0
0,109.0,0
0,110.0,0
0,111.0,0
0,112.0,0
0,113.0,0
0,114.0,0
0,115.0,0
0,116.0,0
0,117.0,0
0,118.0,0
0,119.0,0
0,120.0,0
0,121.0,0
0,122.0,0
0,123.0,0
0,124.0,0
0,125.0,0
0,126.0,0
0,127.0,0
0,128.0,0
0,129.0,0
0,130.0,0
0,131.0,0
0,132.0,0
0,133.0,0
0,134.0,0
0,135.0,0
0,136.0,0
0,137.0,0
0,138.0,0
0,139.0,0
0,140.0,0
0,141.0,0
0,142.0,0
0,143.0,0
0,144.0,0
0,145.0,0
0,146.0,0
0,147.0,0
0,148.0,0
0,149.0,0
0,150.0,0
0,151.0,0
0,152.0,0
0,153.0,0
0,154.0,0
0,155.0,0
0,156.0,156
156,157.0,155
156,158.0,155
156,159.0,153
156,160.0,152
156,161.0,150
156,162.0,148
156,163.0,147
156,164.0,147
156,165.0,143
156,166.0,139
156,167.0,138
156,168.0,136
156,169.0,134
156,170.0,132
156,171.0,130
156,172.0,127
156,173.0,125
156,174.0,124
156,175.0,121
156,176.0,121
156,177.0,120
156,178.0,119
156,179.0,118
156,180.0,116
156,181.0,115
156,182.0,115
156,183.0,111
156,184.0,106
156,185.0,104
156,186.0,102
156,187.0,100
156,188.0,95
156,189.0,94
156,190.0,94
156,191.0,94
156,192.0,89
156,193.0,87
156,194.0,86
156,195.0,85
156,196.0,83
156,197.0,82
156,198.0,82
156,199.0,73
156,200.0,77
156,201.0,71
156,202.0,69
156,203.0,68
156,204.0,67
156,205.0,65
156,206.0,63
156,207.0,58
156,208.0,55
156,209.0,55
156,210.0,51
156,211.0,49
156,212.0,49
156,213.0,49
156,214.0,47
156,215.0,46
156,216.0,42
156,217.0,39
156,218.0,42
156,219.0,39
156,220.0,39
156,221.0,39
156,222.0,38
156,223.0,38
156,224.0,38
156,225.0,38
156,226.0,38
156,227.0,37
156,228.0,37
156,229.0,37
156,230.0,37
156,231.0,37
156,232.0,37
156,233.0,37
156,234.0,37
156,235.0,37
156,236.0,37
156,237.0,37
156,238.0,36
156,239.0,36
156,240.0,36
156,241.0,36
156,242.0,36
156,243.0,36
156,244.0,36
156,245.0,36
156,246.0,36
156,247.0,35
156,248.0,35
156,249.0,35
156,250.0,35
156,251.0,35
156,252.0,35
156,253.0,35
156,254.0,35
156,255.0,35
156,256.0,35
156,257.0,35
156,258.0,35
156,259.0,35
156,260.0,35
156,261.0,35
156,262.0,35
156,263.0,35
156,264.0,34
156,265.0,34
156,266.0,34
156,267.0,34
156,268.0,34
156,269.0,34
156,270.0,34
156,271.0,34
156,272.0,34
156,273.0,34
156,274.0,34
156,275.0,34
156,276.0,34
156,277.0,34
156,278.0,34
156,279.0,34
156,280.0,34
156,281.0,33
156,282.0,33
156,283.0,33
156,284.0,33
156,285.0,33
156,286.0,33
156,287.0,33
156,288.0,33
156,289.0,33
156,290.0,33
156,291.0,33
156,292.0,33
156,293.0,33
156,294.0,33
156,295.0,33
156,296.0,33
156,297.0,33
156,298.0,33
156,299.0,33
156,300.0,33
156,301.0,33
156,302.0,33
156,303.0,33
156,304.0,33
156,305.0,33
156,306.0,33
156,307.0,33
156,308.0,33
156,309.0,33
156,310.0,33
156,311.0,33
156,312.0,33
156,313.0,33
156,314.0,33
156,315.0,33
156,316.0,33
156,317.0,33
156,318.0,33
156,319.0,33
156,320.0,33
156,321.0,33
156,322.0,33
156,323.0,33
156,324.0,33
156,325.0,33
156,326.0,33
156,327.0,33
156,328.0,33
156,329.0,33
156,330.0,33
156,331.0,33
156,332.0,33
156,333.0,33
156,334.0,33
156,335.0,33
156,336.0,33
156,337.0,33
156,338.0,33
156,339.0,33
156,340.0,33
156,341.0,33
156,342.0,33
156,343.0,33
156,344.0,33
156,345.0,33
156,346.0,33
156,347.0,33
156,348.0,33
156,349.0,33
156,350.0,33
156,351.0,33
156,352.0,33
156,353.0,33
156,354.0,33
156,355.0,33
156,356.0,33
156,357.0,33
156,358.0,33
156,359.0,33
156,360.0,33
156,361.0,33
156,362.0,33
156,363.0,33
156,364.0,33
156,365.0,33
156,366.0,33
156,367.0,33
156,368.0,33
156,369.0,33
156,370.0,33
156,371.0,33
156,372.0,33
156,373.0,33
156,374.0,33
156,375.0,33
156,376.0,33
156,377.0,33
156,378.0,33
156,379.0,33
156,380.0,33
156,381.0,33
156,382.0,33
156,383.0,33
156,384.0,33
156,385.0,33
156,386.0,33
156,387.0,33
156,388.0,33
156,389.0,33
156,390.0,33
156,391.0,33
156,392.0,33
156,393.0,33
156,394.0,33
156,395.0,33
156,396.0,33
156,397.0,33
156,398.0,33
156,399.0,33
156,400.0,33
156,401.0,33
156,402.0,33
156,403.0,33
156,404.0,33
156,405.0,33
156,406.0,33
156,407.0,33
156,408.0,33
156,409.0,33
156,410.0,33
156,411.0,33
156,412.0,33
156,413.0,33
156,414.0,33
156,415.0,33
156,416.0,33
156,417.0,33
156,418.0,33
156,419.0,33
156,420.0,33
156,421.0,33
156,422.0,33
156,423.0,33
156,424.0,33
156,425.0,33
156,426.0,33
156,427.0,33
156,428.0,33
156,429.0,33
156,430.0,33
156,431.0,33
156,432.0,33
156,433.0,33
156,434.0,33
156,435.0,33
156,436.0,33
156,437.0,33
156,438.0,33
156,439.0,33
156,440.0,33
156,441.0,33
156,442.0,33
156,443.0,33
156,444.0,33
156,445.0,33
156,446.0,33
156,447.0,33
156,448.0,33
156,449.0,33
156,450.0,33
156,451.0,33
156,452.0,33
156,453.0,33
156,454.0,33
156,455.0,33
156,456.0,33
156,457.0,33
156,458.0,33
156,459.0,33
156,460.0,33
156,461.0,33
156,462.0,33
156,463.0,33
156,464.0,33
156,465.0,33
156,466.0,33
156,467.0,33
156,468.0,33
156,469.0,33
156,470.0,33
156,471.0,33
156,472.0,33
156,473.0,33
156,474.0,33
156,475.0,33
156,476.0,33
156,477.0,33
156,478.0,33
156,479.0,33
156,480.0,33
156,481.0,33
156,482.0,33
156,483.0,33
156,484.0,33
156,485.0,33
156,486.0,33
156,487.0,33
156,488.0,33
156,489.0,33
156,490.0,33
156,491.0,33
156,492.0,33
156,493.0,33
156,494.0,33
156,495.0,33
156,496.0,33
156,497.0,33
156,498.0,33
156,499.0,33
156,500.0,33
156,501.0,33
156,502.0,33
156,503.0,33
156,504.0,33
156,505.0,33
156,506.0,33
156,507.0,33
156,508.0,33
156,509.0,33
156,510.0,33
156,511.0,33
156,512.0,33
156,513.0,33
156,514.0,33
156,515.0,33
156,516.0,33
156,517.0,33
156,518.0,33
156,519.0,33
156,520.0,33
156,521.0,33
156,522.0,33
156,523.0,33
156,524.0,33
156,525.0,33
156,526.0,33
156,527.0,33
156,528.0,33
156,529.0,33
156,530.0,33
156,531.0,33
156,532.0,33
156,533.0,33
156,534.0,33
156,535.0,33
156,536.0,33
156,537.0,33
156,538.0,33
156,539.0,33
156,540.0,33
156,541.0,33
156,542.0,33
156,543.0,33
156,544.0,33
156,545.0,33
156,546.0,33
156,547.0,33
156,548.0,33
156,549.0,33
156,550.0,33
156,551.0,33
156,552.0,33
156,553.0,33
156,554.0,33
156,555.0,33
156,556.0,33
156,557.0,33
156,558.0,33
156,559.0,33
156,560.0,33
156,561.0,33
156,562.0,33
156,563.0,33
156,564.0,33
156,565.0,33
156,566.0,33
156,567.0,33
156,568.0,33
156,569.0,33
156,570.0,33
156,571.0,33
156,572.0,33
156,573.0,33
156,574.0,33
156,575.0,33
156,576.0,33
156,577.0,33
156,578.0,33
156,579.0,33
156,580.0,33
156,581.0,33
156,582.0,33
156,583.0,33
156,584.0,33
156,585.0,33
156,586.0,33
156,587.0,33
156,588.0,33
156,589.0,33
156,590.0,33
156,591.0,33
156,592.0,33
156,593.0,33
156,594.0,33
156,595.0,33
156,596.0,33
156,597.0,33
156,598.0,33
156,599.0,33
156,600.0,33
156,601.0,33
156,602.0,33
156,603.0,33
156,604.0,33
156,605.0,33
156,606.0,33
156,607.0,33
156,608.0,33
156,609.0,33
156,610.0,33
156,611.0,33
156,612.0,33
156,613.0,33
156,614.0,33
156,615.0,33
156,616.0,33
156,617.0,33
156,618.0,33
156,619.0,33
156,620.0,33
156,621.0,33
156,622.0,33
156,623.0,33
156,624.0,33
156,625.0,33
156,626.0,33
156,627.0,33
156,628.0,33
156,629.0,33
156,630.0,33
156,631.0,33
156,632.0,33
156,633.0,33
156,634.0,33
156,635.0,33
156,636.0,33
156,637.0,33
156,638.0,33
156,639.0,33
156,640.0,33
156,641.0,33
156,642.0,33
156,643.0,33
156,644.0,33
156,645.0,33
156,646.0,33
156,647.0,33
156,648.0,33
156,649.0,33
156,650.0,33
156,651.0,33
156,652.0,33
156,653.0,33
156,654.0,33
156,655.0,33
156,656.0,33
156,657.0,33
156,658.0,33
156,659.0,33
156,660.0,33
156,661.0,33
156,662.0,33
